曲名,PACK,カテゴリ,アーティスト,BPM,実装日,4N,4H,4M,4S,5N,5H,5M,5S,6N,6H,6M,6S,8N,8H,8M,8S,備考
Tell Me,Clazziquai Edition,CLAZZIQUAI,Lee Geol,89,2020/05/28,1,6,-,-,2,5,9,-,3,6,8,-,1,8,-,-,
The Clear Blue Sky,Clazziquai Edition,CLAZZIQUAI,Tsukasa,178,2020/05/28,4,9,13,-,6,8,13,12,6,9,13,8,4,10,13,8,
The Night Stage,Clazziquai Edition,CLAZZIQUAI,CLAZZIQUAI,120,2020/05/28,3,6,-,3,3,7,-,-,3,8,-,-,3,7,10,-,
To You [Sweetune],Clazziquai Edition,CLAZZIQUAI,Sweetune,133,2020/05/28,3,6,-,8,2,-,8,8,2,5,9,-,2,7,-,-,
Urban Night,Clazziquai Edition,CLAZZIQUAI,hYO,93,2020/05/28,4,8,-,-,5,8,-,-,3,8,-,-,3,-,8,-,
Y (CE Style),Clazziquai Edition,CLAZZIQUAI,ND Lee,130,2020/05/28,5,8,11,7,5,10,-,-,5,8,11,-,5,9,13,-,
Airwave ~Extended Mix~,LINK DISC (BS+),BLACK SQUARE,ReX,150,2020/09/24,8,10,13,-,7,10,14,-,6,12,14,-,7,10,13,-,
Beat U Down,BLACK SQUARE,BLACK SQUARE,makou,155,2020/05/28,8,12,14,-,8,10,14,-,9,12,14,11,8,10,14,-,
Colours of Sorrow,BLACK SQUARE,BLACK SQUARE,Tsukasa,143,2020/05/28,4,-,11,6,6,9,12,-,5,9,12,7,6,9,13,-,
Cypher Gate,BLACK SQUARE,BLACK SQUARE,7 Sequence,150,2020/05/28,5,8,-,10,7,10,-,12,7,10,13,-,7,10,13,11,
Desperado,BLACK SQUARE,BLACK SQUARE,Croove,130,2020/05/28,5,9,11,-,7,11,-,-,5,8,11,-,7,12,-,-,
Fermion,BLACK SQUARE,BLACK SQUARE,makou,156,2020/05/28,8,11,14,-,7,9,14,13,8,12,14,-,7,10,15,12,
Fever Pitch Girl,BLACK SQUARE,BLACK SQUARE,Nikacha,136,2020/05/28,5,8,-,6,4,7,10,-,6,10,-,-,6,11,-,5,
Get Down,BLACK SQUARE,BLACK SQUARE,BJJ,111,2020/05/28,4,7,9,-,4,9,-,-,4,7,10,3,5,10,-,-,
Grave Consequence,BLACK SQUARE,BLACK SQUARE,Tsukasa,180,2020/05/28,6,10,14,-,6,10,13,-,7,12,-,13,7,10,14,-,
Heart of Witch,BLACK SQUARE,BLACK SQUARE,ReX,170,2020/05/28,7,12,14,-,7,11,15,14,7,12,14,13,8,12,15,14,
In my Dream,BLACK SQUARE,BLACK SQUARE,ND Lee,140,2020/05/28,5,10,14,-,8,11,14,12,5,11,14,14,8,10,15,-,
Jealousy,BLACK SQUARE,BLACK SQUARE,3rd Coast,125,2020/05/28,3,7,-,3,3,7,9,-,4,-,9,-,3,8,9,-,
Keys to the World,BLACK SQUARE,BLACK SQUARE,Planetboom,160,2020/05/28,5,8,12,9,6,9,13,-,6,11,-,11,6,10,13,-,
Lovely hands,BLACK SQUARE,BLACK SQUARE,Planetboom,132,2020/05/28,4,-,10,-,5,9,11,-,3,10,-,6,6,9,11,5,
Lover (BS Style),BLACK SQUARE,BLACK SQUARE,ND Lee,145,2020/05/28,5,7,12,5,5,10,-,8,4,8,11,-,5,8,10,-,
PDM,BLACK SQUARE,BLACK SQUARE,Trish,120,2020/05/28,3,7,10,-,4,7,9,-,3,10,-,8,4,9,-,3,
"Proposed, Flower, Wolf part.2",BLACK SQUARE,BLACK SQUARE,ReX,160,2020/05/28,3,8,-,-,4,10,-,4,4,8,11,-,5,11,-,7,
Ready Now,BLACK SQUARE,BLACK SQUARE,Ruby Tuesday,135,2020/05/28,4,8,-,4,4,7,9,6,4,7,10,-,5,-,9,5,
Ruti'n,BLACK SQUARE,BLACK SQUARE,BEXTER,120,2020/05/28,4,10,-,-,5,8,11,-,4,9,11,-,5,10,-,-,
Secret World,BLACK SQUARE,BLACK SQUARE,Sweetune,110,2020/05/28,4,7,10,-,3,8,-,-,4,7,10,-,4,-,9,-,
Y (BS Style),BLACK SQUARE,BLACK SQUARE,ND Lee,130,2020/05/28,5,8,11,5,4,7,-,4,4,8,12,-,4,8,12,-,
Attack,V EXTENSION,V EXTENSION,Mr.Funky,150,2020/03/12,4,7,10,7,5,9,-,11,5,10,13,7,6,8,14,11,
BLACK GOLD,V EXTENSION,V EXTENSION,Cranky,155,2020/03/12,6,11,13,-,6,12,14,11,6,12,14,11,6,11,14,-,
Do It,V EXTENSION,V EXTENSION,House Rulez,129,2020/03/12,5,8,12,4,7,-,11,4,5,11,-,6,5,11,-,4,
Dream it,V EXTENSION,V EXTENSION,BEXTER,175,2020/03/12,4,8,11,9,4,7,11,-,4,7,10,10,5,8,12,-,
Fancy Night,V EXTENSION,V EXTENSION,SiNA x CHUCK,122,2020/03/12,2,5,9,5,4,6,9,5,4,7,9,6,6,-,10,5,
FIGHT NIGHT (feat. Calyae),V EXTENSION,V EXTENSION,Messier,190,2020/03/12,5,8,13,10,6,10,13,-,6,10,13,-,8,12,14,9,
Kensei,V EXTENSION,V EXTENSION,Pure100%,170,2020/03/12,7,10,14,12,8,12,14,13,7,11,14,13,8,12,14,13,
Lisrim,V EXTENSION,V EXTENSION,onoken,172,2020/03/12,6,8,14,-,6,9,13,13,5,8,13,10,6,10,14,-,
Lost Serenity,V EXTENSION,V EXTENSION,Benicx,162,2020/03/12,4,7,10,6,4,8,11,8,4,7,11,7,6,11,-,5,
Lost Temple,V EXTENSION,V EXTENSION,IMLAY,104,2020/03/12,5,8,-,12,3,8,11,-,5,8,10,11,5,7,12,-,
Maharajah -fenomeno edition-,V EXTENSION,V EXTENSION,Alice Schach and the Magic Orchestra,120,2020/03/12,3,5,10,5,5,9,11,5,5,7,11,8,6,9,11,7,
Misty Er'A,V EXTENSION,V EXTENSION,Mycin.T x jam-jam,66~120,2020/03/12,3,6,10,-,3,7,10,-,4,9,-,9,5,7,10,-,
Move Yourself,V EXTENSION,V EXTENSION,IMLAY / YESEO,125,2020/03/12,2,4,7,6,4,6,9,7,5,7,10,8,4,7,11,9,
NANAIRO,V EXTENSION,V EXTENSION,HAYAKO,150,2020/03/12,3,8,11,7,5,8,12,-,5,8,12,9,5,9,13,-,
Never Die,V EXTENSION,V EXTENSION,Paul Bazooka,172,2020/03/12,5,9,14,11,7,10,14,12,6,10,14,12,6,11,14,11,
Remember Me,V EXTENSION,V EXTENSION,NieN,180,2020/03/12,7,10,12,-,6,10,13,10,7,11,13,-,7,11,14,9,
Space Challenger,V EXTENSION,V EXTENSION,Bagagee Viphex13,170,2020/03/12,4,10,-,8,5,8,12,11,5,9,12,12,5,11,-,9,
Vile Requiem,V EXTENSION,V EXTENSION,GOTH,75~150,2020/03/12,7,13,-,-,6,10,13,-,5,10,13,12,6,10,14,-,
welcome to the space (feat. Jisun),V EXTENSION,V EXTENSION,Pory,135,2020/03/12,3,6,9,-,4,8,11,9,4,-,10,-,4,9,11,8,
WONDER $LOT 777,V EXTENSION,V EXTENSION,MYUKKE.,155,2020/03/12,5,10,14,12,7,10,13,11,7,9,14,12,7,11,14,12,
Arcade Love (feat. KNVWN),V EXTENSION II,V EXTENSION 2,Newton / KNVWN,176,2022/01/25,5,10,-,8,5,12,-,6,5,-,11,7,4,11,-,8,
Chrysanthemum,V EXTENSION II,V EXTENSION 2,Kanallia,136,2022/01/25,5,8,12,9,6,9,11,-,6,9,-,11,7,12,-,12,
Cocked Pistol,V EXTENSION II,V EXTENSION 2,Pierre Blanche,150,2022/01/25,7,10,14,14,8,11,14,12,7,-,12,12,7,11,14,12,
Daydream,V EXTENSION II,V EXTENSION 2,Mycin.T x SiNA,192,2022/01/25,7,11,14,-,7,11,15,13,7,11,14,12,7,10,15,12,
FALLING IN LOVE,V EXTENSION II,V EXTENSION 2,NieN,118,2022/01/25,1,4,7,3,1,7,10,3,2,5,9,5,3,7,12,4,
Flowering ~Original Ver.~,V LINK (V1+),V EXTENSION 2,ampstyle,148,2022/01/25,6,9,13,-,7,13,-,11,7,11,13,-,4,9,13,11,
Forgotten,V EXTENSION II,V EXTENSION 2,Paul Bazooka,150,2022/01/25,6,12,-,11,7,-,11,11,6,11,-,-,7,12,11,12,
I’ve got a feeling,V EXTENSION II,V EXTENSION 2,LeeZu,190,2022/01/25,7,11,13,-,8,12,14,12,7,10,12,11,7,-,14,-,
Imaginary dance,V EXTENSION II,V EXTENSION 2,CHUCK,92,2022/01/25,5,8,-,10,3,6,14,-,3,5,-,13,3,6,14,12,
Melonaid,V EXTENSION II,V EXTENSION 2,KATOMORI,145,2022/01/25,5,11,13,8,6,11,13,9,7,11,13,9,5,10,-,10,
Memories of dreams,V EXTENSION II,V EXTENSION 2,Pory,142,2022/01/25,4,-,11,7,5,10,12,6,5,9,-,6,6,13,-,9,
Never let you go,V EXTENSION II,V EXTENSION 2,Blosso,170,2022/01/25,7,9,12,10,6,-,12,9,5,9,13,10,7,-,14,13,
Odysseus,V EXTENSION II,V EXTENSION 2,XeoN,187,2022/01/25,7,13,15,13,8,13,15,14,10,13,15,15,10,13,15,15,
Over Me,V EXTENSION II,V EXTENSION 2,SSOMbo,160,2022/01/25,6,-,14,-,7,10,14,14,8,-,13,13,7,-,14,13,
Red Eyes,V EXTENSION II,V EXTENSION 2,Cosmograph,120~155,2022/01/25,7,-,14,-,9,-,15,14,8,-,14,13,8,12,15,13,
Sweet On You,V EXTENSION II,V EXTENSION 2,jam-jam,118,2022/01/25,4,9,-,4,5,8,-,5,4,8,-,8,7,12,-,7,
Underwater Castle,V EXTENSION II,V EXTENSION 2,Nauts,92,2022/01/25,2,7,10,2,5,8,11,-,3,7,11,-,4,12,-,5,
Vertical Floating,V EXTENSION II,V EXTENSION 2,Tsukasa,180,2022/01/25,7,11,14,7,7,11,-,10,7,11,13,12,7,-,14,12,
Voyage [SOPHI],V EXTENSION II,V EXTENSION 2,SOPHI,160,2022/01/25,7,9,-,7,6,12,-,6,4,8,12,-,7,12,-,-,
Won’t Back Down,V EXTENSION II,V EXTENSION 2,Pure 100% / KASA,165,2022/01/25,7,11,13,13,7,11,13,12,4,7,14,13,7,11,14,13,
Zero to the hunnit,V EXTENSION II,V EXTENSION 2,SiNA,168,2022/01/25,7,-,13,12,8,-,13,-,3,9,12,-,7,-,13,13,
Cosmic Elevator,Emotional Sense,EMOTIONAL S.,Forte Escape,164,2020/03/12,4,8,-,-,5,10,-,-,6,12,-,-,6,12,-,-,
Feel,Emotional Sense,EMOTIONAL S.,DJ Mocha,123.8,2020/03/12,4,7,-,3,4,9,-,-,5,-,10,5,6,-,11,-,
Knowledge System,Emotional Sense,EMOTIONAL S.,Forte Escape,140,2020/03/12,6,10,-,12,7,11,13,-,7,10,13,-,7,10,13,11,
Real Over Drive,Emotional Sense,EMOTIONAL S.,NieN,152,2020/03/12,7,-,12,-,6,11,-,8,7,13,-,-,7,13,-,11,
Space of Soul,Emotional Sense,EMOTIONAL S.,M2U,160,2020/03/12,6,10,14,-,7,12,14,12,7,12,14,13,7,12,14,-,
Super Lovely,Emotional Sense,EMOTIONAL S.,Earbreaker,170,2020/03/12,7,11,15,-,6,12,15,14,6,11,15,14,6,12,15,-,
Urban Night [Electronic Boutique],Emotional Sense,EMOTIONAL S.,Electronic Boutique,124,2020/03/12,5,13,-,-,5,12,-,9,6,-,13,11,6,-,13,-,
Yo! Max!,Emotional Sense,EMOTIONAL S.,ND Lee,90,2020/03/12,2,8,-,-,4,8,-,-,4,-,8,-,4,8,-,-,
Access,TECHNIKA,TECHNIKA 1,Sphazer,135,2020/09/24,2,4,7,4,3,6,-,4,3,-,12,-,5,7,11,-,
Area 7,TECHNIKA,TECHNIKA 1,Sphazer,130,2020/09/24,4,-,10,-,4,7,10,-,5,7,11,-,4,7,12,-,
Beyond the Future,TECHNIKA,TECHNIKA 1,7 Sequence,130,2020/09/24,4,8,11,10,4,8,11,-,4,9,12,-,4,9,12,12,
Dear my Lady,TECHNIKA,TECHNIKA 1,Oriental ST8,128,2020/09/24,5,9,-,8,5,7,10,-,5,7,11,5,4,7,10,-,
DJMAX,TECHNIKA,TECHNIKA 1,Humming Urban Stereo,128,2020/09/24,2,7,-,-,3,-,8,-,4,8,-,-,4,8,-,-,
Fury,TECHNIKA,TECHNIKA 1,Sugardonut,135,2020/09/24,4,9,11,-,5,8,12,-,5,9,12,11,5,10,12,12,
HEXAD,TECHNIKA,TECHNIKA 1,Electronic Boutique,135,2020/09/24,5,10,13,10,5,9,12,11,5,9,12,12,6,10,13,-,
Honeymoon,TECHNIKA,TECHNIKA 1,Humming Urban Stereo,150,2020/09/24,3,5,8,-,4,-,8,-,4,8,-,-,3,9,-,-,
I want You,TECHNIKA,TECHNIKA 1,Lin-G,140,2020/09/24,3,6,8,8,3,8,10,-,5,8,11,5,4,9,11,-,
Landscape,TECHNIKA,TECHNIKA 1,Tsukasa,140,2020/09/24,6,9,-,-,6,8,11,9,5,9,12,11,7,9,13,12,
Melody,TECHNIKA,TECHNIKA 1,bermei.inazawa,188,2020/09/24,5,8,11,-,5,8,11,11,4,8,12,-,5,10,12,9,
Play the Future,TECHNIKA,TECHNIKA 1,Urbatronic Chopsticks,128,2020/09/24,4,9,-,8,4,7,10,-,6,10,-,-,5,-,10,-,
Remember,TECHNIKA,TECHNIKA 1,Lin-G,150,2020/09/24,3,8,10,-,4,7,10,4,4,7,11,-,5,-,11,5,
Shoreline,TECHNIKA,TECHNIKA 1,Oriental ST8,135,2020/09/24,4,8,10,-,6,11,-,-,6,11,-,8,6,8,12,9,
SON OF SUN,TECHNIKA,TECHNIKA 1,Hosoe Shinji,200,2020/09/24,7,10,14,-,7,10,14,13,7,11,14,-,7,10,15,14,
SON OF SUN ~Extended Mix~,LINK DISC (T1+),TECHNIKA 1,Hosoe Shinji,200,2020/09/24,7,10,14,-,7,10,15,-,7,11,14,-,8,11,15,-,
SuperSonic,TECHNIKA,TECHNIKA 1,Planetboom,156,2020/09/24,4,7,11,-,5,8,12,9,6,9,12,-,6,10,13,-,
Sweet Shining Shooting Star,TECHNIKA,TECHNIKA 1,Croove,140,2020/09/24,3,8,10,3,3,6,10,-,6,-,10,6,6,-,11,-,
The Last Dance,TECHNIKA,TECHNIKA 1,Urbatronic Chopsticks,102,2020/09/24,4,-,8,2,5,11,-,-,5,10,-,-,4,-,12,-,
Thor,TECHNIKA,TECHNIKA 1,XeoN,147,2020/09/24,7,11,14,-,6,10,14,-,6,11,14,12,7,11,14,12,
Voyage [makou],TECHNIKA,TECHNIKA 1,makou,125,2020/09/24,6,9,-,-,5,10,-,-,3,7,11,-,5,11,-,-,
Airwave,TECHNIKA 2,TECHNIKA 2,ReX,150,2020/09/24,5,9,12,12,6,9,13,-,7,-,14,13,7,11,13,-,
BEE-U-TIFUL,TECHNIKA 2,TECHNIKA 2,FIRST AID,170,2020/09/24,6,-,11,-,7,10,12,10,6,11,13,-,6,10,13,-,
Burn it Down,TECHNIKA 2,TECHNIKA 2,P'sycho-Remi,150,2020/09/24,4,7,9,-,4,9,-,-,4,8,11,-,5,7,12,-,
Cosmic Fantastic Lovesong,TECHNIKA 2,TECHNIKA 2,DINY,136,2020/09/24,2,5,9,3,3,8,11,-,3,7,12,-,4,7,11,-,
Cozy Quilt,TECHNIKA 2,TECHNIKA 2,bermei.inazawa,141,2020/09/24,3,9,-,-,2,7,-,4,3,7,-,5,3,7,12,-,
D2,TECHNIKA 2,TECHNIKA 2,FIRST AID,178,2020/09/24,7,-,14,13,6,9,13,14,7,12,15,-,7,11,15,13,
Dream of Winds,TECHNIKA 2,TECHNIKA 2,XeoN,150,2020/09/24,5,8,12,-,6,10,13,-,4,8,12,12,5,9,12,13,
Dual Strikers,TECHNIKA 2,TECHNIKA 2,7 Sequence,152,2020/09/24,6,8,-,12,6,9,12,-,6,10,13,-,7,10,13,9,
Eternal Fantasy,TECHNIKA 2,TECHNIKA 2,XeoN,127,2020/09/24,2,5,-,-,2,5,-,-,3,5,9,-,3,7,-,2,
La Campanella : Nu Rave,TECHNIKA 2,TECHNIKA 2,cranky,130-178,2020/09/24,6,9,13,9,7,13,-,11,7,-,13,-,7,11,13,10,
Love is Beautiful,TECHNIKA 2,TECHNIKA 2,Electronic Boutique,152,2020/09/24,4,5,7,-,5,8,-,3,4,7,9,-,5,9,-,3,
MonoXide,TECHNIKA 2,TECHNIKA 2,Planetboom,135,2020/09/24,5,9,12,-,6,12,-,-,6,9,12,8,5,12,-,8,
Nova ~Mr.Funky Remix~,TECHNIKA 2,TECHNIKA 2,Mr.Funky,136,2020/09/24,5,7,-,7,6,10,-,6,7,10,12,-,6,-,12,-,
Put'Em Up,TECHNIKA 2,TECHNIKA 2,makou,100,2020/09/24,2,5,8,-,5,9,-,-,3,6,9,-,5,10,-,5,
Puzzler,TECHNIKA 2,TECHNIKA 2,Electronic Boutique,130,2020/09/24,5,-,10,-,4,10,-,4,4,11,-,-,5,9,12,-,
Rage Of Demon,TECHNIKA 2,TECHNIKA 2,NieN,196,2020/09/24,6,11,15,13,8,11,15,-,8,12,15,14,8,13,15,13,
Say it from your heart,TECHNIKA 2,TECHNIKA 2,makou,130,2020/09/24,3,5,10,-,4,8,10,-,3,8,-,5,4,9,-,-,
Sweet Dream,TECHNIKA 2,TECHNIKA 2,Lin-G,140,2020/09/24,4,6,10,-,3,5,8,6,4,7,11,7,5,11,-,-,
The Guilty,TECHNIKA 2,TECHNIKA 2,P'sycho-Remi,155,2020/09/24,4,7,12,-,6,10,13,9,7,12,-,-,7,-,13,11,
Thor ~Extended Mix~,TECHNIKA 2,TECHNIKA 2,XeoN,147,2020/09/24,5,11,14,-,6,10,15,-,6,11,14,-,8,-,14,12,
Trip,TECHNIKA 2,TECHNIKA 2,NieN,114,2020/09/24,1,4,6,2,2,5,8,-,3,5,8,-,3,5,8,-,
XLASHER,TECHNIKA 2,TECHNIKA 2,Hosoe Shinji,160,2020/09/24,4,8,11,-,5,10,13,13,4,8,13,-,6,10,13,-,
Y ~Extended Mix~,TECHNIKA 2,TECHNIKA 2,ND LEE,130,2020/09/24,6,-,12,8,6,10,12,-,6,9,12,-,6,10,13,-,
A Life With You,TECHNIKA 3,TECHNIKA 3,makou,122,2020/09/24,4,-,9,-,4,6,10,-,6,10,12,-,6,12,-,8,
AD2222,TECHNIKA 3,TECHNIKA 3,CROOVE,140,2020/09/24,5,8,11,-,6,9,14,12,6,10,13,12,6,10,12,-,
AD2222 ~Extended Mix~,TECHNIKA 3,TECHNIKA 3,CROOVE,140,2020/09/24,5,10,12,-,6,10,13,-,7,-,13,-,7,10,13,-,
Angel,TECHNIKA 3,TECHNIKA 3,Laurent Newfield & Ravenant,170,2020/09/24,4,9,12,-,6,10,12,-,6,9,13,-,6,10,12,8,
Bamboo on Bamboo,TECHNIKA 3,TECHNIKA 3,Sampling Masters MEGA,200,2020/09/24,8,12,15,13,6,12,15,-,7,12,15,13,8,12,15,-,
Black Swan,TECHNIKA 3,TECHNIKA 3,TAK,116-174,2020/09/24,5,8,12,-,5,11,13,-,5,10,12,13,6,10,14,13,
Dark Prism,TECHNIKA 3,TECHNIKA 3,Tsukasa,149,2020/09/24,7,13,-,-,5,12,13,11,5,11,14,13,6,-,13,-,
Dream Again,TECHNIKA 3,TECHNIKA 3,DINY,140,2020/09/24,2,5,9,-,4,7,-,-,4,7,-,-,3,9,10,-,
EGG,TECHNIKA 3,TECHNIKA 3,Nauts,176,2020/09/24,4,7,10,-,5,10,13,8,5,10,12,-,6,10,13,9,
EGG ~Extended Mix~,TECHNIKA 3,TECHNIKA 3,Nauts,176,2020/09/24,4,7,11,-,6,10,-,-,5,11,13,-,7,13,-,-,
Emblem,TECHNIKA 3,TECHNIKA 3,makou,240,2020/09/24,8,12,14,-,6,9,13,13,8,13,-,12,6,9,14,-,
Fallin' in LUV,TECHNIKA 3,TECHNIKA 3,3rd Coast,132,2020/09/24,3,7,-,3,3,8,10,-,3,6,10,-,5,-,10,4,
Feel Ma Beat,TECHNIKA 3,TECHNIKA 3,NieN,100,2020/09/24,7,11,14,-,9,11,14,-,8,11,14,9,8,11,14,12,
Ghost,TECHNIKA 3,TECHNIKA 3,STi,125,2020/09/24,3,5,9,6,4,-,8,6,4,9,-,-,5,10,12,-,
Give Me 5,TECHNIKA 3,TECHNIKA 3,ND Lee,121,2020/09/24,5,-,10,-,5,9,11,-,5,9,-,-,5,9,11,-,
Heart Beat Part.2,TECHNIKA 3,TECHNIKA 3,ND Lee,156,2020/09/24,2,4,8,4,5,8,-,-,4,-,10,-,6,-,11,-,
Kung-Fu Rider,TECHNIKA 3,TECHNIKA 3,AstroKid,133,2020/09/24,6,9,-,5,6,10,-,9,6,10,-,8,6,10,12,-,
"My Heart,My Soul",TECHNIKA 3,TECHNIKA 3,3rd Coast,123,2020/09/24,2,6,-,-,5,7,-,-,4,7,10,-,4,10,-,-,
Now a NEW Day,TECHNIKA 3,TECHNIKA 3,Sui.Jay,158,2020/09/24,3,7,10,8,5,8,11,-,5,9,11,6,5,8,11,-,
Out of CTRL,TECHNIKA 3,TECHNIKA 3,Mr.Funky,176.1,2020/09/24,7,10,13,12,7,11,-,13,8,13,-,-,6,10,13,11,
Over the Rainbow,TECHNIKA 3,TECHNIKA 3,Tsukasa,190,2020/09/24,7,12,-,12,5,9,12,-,7,10,12,12,7,13,-,-,
Right Back,TECHNIKA 3,TECHNIKA 3,TANUKI,175,2020/09/24,8,11,14,-,8,-,13,-,7,10,14,-,5,10,14,11,
Showdown,TECHNIKA 3,TECHNIKA 3,LeeZu,145,2020/09/24,6,9,13,-,6,8,-,10,5,11,14,-,6,10,13,12,
SigNalize,TECHNIKA 3,TECHNIKA 3,Paul Bazooka,132,2020/09/24,6,8,10,-,7,9,-,10,7,-,12,9,6,10,14,-,
Supernova,TECHNIKA 3,TECHNIKA 3,cranky,165,2020/09/24,5,-,11,-,6,-,12,12,5,9,13,-,6,-,14,13,
Supersonic 2011,TECHNIKA 3,TECHNIKA 3,Planetboom / Sound LAB,148,2020/09/24,6,12,-,12,7,11,-,12,7,12,-,-,5,10,14,-,
Wanna Be Your Lover,TECHNIKA 3,TECHNIKA 3,Laurent Newfield & Ravenant,128,2020/09/24,1,4,7,-,5,8,-,-,4,-,10,-,4,10,-,-,
Xeus,TECHNIKA 3,TECHNIKA 3,XeoN,148,2020/09/24,6,11,13,-,8,11,14,-,7,11,14,13,6,11,14,15,
You & Me,TECHNIKA 3,TECHNIKA 3,NieN,136,2020/09/24,3,5,7,3,4,8,-,3,3,7,10,-,3,7,10,-,
A Song of Sixpence,TECHNIKA TUNE & Q,TECHNIKA T&Q,makou,135,2022/07/28,3,7,10,5,3,6,10,6,2,4,8,5,3,6,10,5,TECHNIKA TUNE
Back To Life,TECHNIKA TUNE & Q,TECHNIKA T&Q,CROOVE,135,2022/07/28,6,8,11,7,4,8,12,5,3,5,12,7,5,8,12,7,TECHNIKA TUNE
Deborah,TECHNIKA TUNE & Q,TECHNIKA T&Q,Paul Bazooka,132,2022/07/28,5,9,13,9,5,10,13,11,4,7,11,10,6,9,12,10,TECHNIKA Q
Eternal Fantasy (Miya Vocal Mix),TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,127,2022/07/28,3,6,8,3,3,6,9,5,3,5,7,4,3,6,11,6,TECHNIKA Q
Festa Nova,TECHNIKA TUNE & Q,TECHNIKA T&Q,TerraMycin,188-264,2022/07/28,6,10,12,8,5,9,12,8,7,9,12,12,6,10,14,13,TECHNIKA Q
Kal_wrnw,TECHNIKA TUNE & Q,TECHNIKA T&Q,LeeZu,140,2022/07/28,6,11,13,12,6,10,13,11,5,8,12,10,6,8,12,9,TECHNIKA Q
Love☆Panic,TECHNIKA TUNE & Q,TECHNIKA T&Q,hiyong,164,2022/07/28,4,8,10,5,3,7,10,5,5,8,10,6,4,8,11,7,TECHNIKA Q
Luv Yourself,TECHNIKA TUNE & Q,TECHNIKA T&Q,ND Lee,105,2022/07/28,2,7,10,5,3,7,9,5,1,3,9,4,3,7,9,5,TECHNIKA TUNE
Mukilteo Beach,TECHNIKA TUNE & Q,TECHNIKA T&Q,CROOVE,160,2022/07/28,4,6,9,6,3,6,10,6,3,6,8,8,3,8,10,8,TECHNIKA Q
Never Ending TECHNIKA,TECHNIKA TUNE & Q,TECHNIKA T&Q,Studio LAY-BACK,106,2022/07/28,3,7,10,6,2,5,8,4,3,6,9,8,5,8,11,7,TECHNIKA Q
Renovation,TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,144,2022/07/28,7,10,13,10,6,11,14,13,6,10,13,12,6,9,13,10,TECHNIKA TUNE
Retention,TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,130,2022/07/28,5,8,10,8,3,7,11,10,4,6,11,9,4,7,10,8,TECHNIKA Q
Shining My Boy,TECHNIKA TUNE & Q,TECHNIKA T&Q,AstroKid,133,2022/07/28,1,4,8,3,3,5,8,3,1,4,8,4,3,7,8,4,TECHNIKA TUNE
Silent Clarity,TECHNIKA TUNE & Q,TECHNIKA T&Q,Tsukasa,180,2022/07/28,5,8,13,10,6,9,13,9,6,8,12,12,6,9,13,10,TECHNIKA TUNE
Starlight Garden,TECHNIKA TUNE & Q,TECHNIKA T&Q,vneld,162,2022/07/28,4,8,10,6,4,8,11,5,4,7,11,7,4,7,11,6,TECHNIKA Q
Take on Me,TECHNIKA TUNE & Q,TECHNIKA T&Q,Cuve,128,2022/07/28,5,8,12,7,5,7,12,7,3,6,11,9,4,8,12,7,TECHNIKA TUNE
The MAX,TECHNIKA TUNE & Q,TECHNIKA T&Q,ND Lee,120,2022/07/28,3,8,10,6,3,6,9,5,4,7,10,8,4,8,11,8,TECHNIKA TUNE
Thor (Deepin' Absonant Mix),TECHNIKA TUNE & Q,TECHNIKA T&Q,XeoN,147,2022/07/28,5,9,14,10,4,10,14,11,5,8,12,11,5,11,14,13,TECHNIKA Q
VORTEX,TECHNIKA TUNE & Q,TECHNIKA T&Q,Electronic Boutique,145,2022/07/28,4,11,13,10,5,11,13,11,6,10,12,11,4,9,13,11,TECHNIKA Q
Break a Spell,標準,COLLABORATION,Daisuke Ishiwatari,200,2020/05/21,5,9,14,-,6,10,-,11,7,9,14,12,7,10,14,-,コラボ(GUILTY GEAR Xrd REV 2)
Holy Orders (Be Just Or Be Dead),標準,COLLABORATION,Daisuke Ishiwatari,120,2020/05/21,4,9,11,8,6,8,11,-,6,9,12,-,6,10,11,10,コラボ(GUILTY GEAR 2 -OVERTURE-)
Marionette,標準,COLLABORATION,Daisuke Ishiwatari,136,2020/05/21,5,9,13,-,7,12,-,12,6,10,13,12,8,-,13,-,コラボ(GUILTY GEAR Xrd -SIGN-)
Cyberozar,CHUNITHM,COLLABORATION,sakuzyo,186,2020/12/10,5,-,12,-,6,11,-,11,5,-,13,11,9,-,14,-,
Garakuta Doll Play,CHUNITHM,COLLABORATION,t+pazolite,128,2020/12/10,6,13,-,14,9,12,15,-,8,-,15,14,7,12,15,12,初出はmaimai
Ikazuchi,CHUNITHM,COLLABORATION,Takenobu Mitsuyoshi,200,2020/12/10,8,-,15,-,8,-,15,15,6,13,15,14,7,13,15,14,
Ray Tuning,CHUNITHM,COLLABORATION,NayutalieN,190,2020/12/10,5,12,-,11,6,13,-,-,6,13,-,9,7,13,-,-,
The wheel to the right,CHUNITHM,COLLABORATION,Sampling Masters MEGA,200,2020/12/10,6,11,14,-,7,13,-,12,6,12,15,12,6,13,15,-,
Trrricksters!!,CHUNITHM,COLLABORATION,s-don vs. Hino Isuka,155,2020/12/10,6,-,14,13,8,13,15,-,8,12,15,13,8,13,15,14,
